TITLE,PLAYER/CHARACTER,SERIAL NUMBER,SET,GRADE,GRADER,VARIANT,AUTOGRAPH,YEAR,LANGUAGE,PRICE,CATEGORY,OTHER META,MP4 URL,IMAGE URL,URL TO PRODUCT
2024 POKEMON JAPANESE SV8a-TERASTAL FEST ex DRAGAPULT ex (PSA GEM MT 10),DRAGAPULT ex,107750911,POKEMON JAPANESE SV8a-TERASTAL FEST ex,GEM MT 10,PSA,SPECIAL ART RARE,No,2024,Japanese,$57.50,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/107750911.mp4,https://cdn.dripshop.live/dripnfts/slabs/107750911.jpg,https://www.dripshop.live/products/PDvzAOymxLd_CJ4dyh6WX
2024 POKEMON JAPANESE SV8a-TERASTAL FEST ex DRAGAPULT ex (PSA GEM MT 10),DRAGAPULT ex,107750910,POKEMON JAPANESE SV8a-TERASTAL FEST ex,GEM MT 10,PSA,SPECIAL ART RARE,No,2024,Japanese,$57.50,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/107750910.mp4,https://cdn.dripshop.live/dripnfts/slabs/107750910.jpg,https://www.dripshop.live/products/oA3puXf7ofD6X0XSTfinc
2022 POKEMON JAPANESE SWORD & SHIELD DARK PHANTASMA FA/GALLADE V (PSA GEM MT 10),FA/GALLADE V,103503812,POKEMON JAPANESE SWORD & SHIELD DARK PHANTASMA,GEM MT 10,PSA,DARK PHANTASMA,No,2022,Japanese,$57.50,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/103503812.mp4,https://cdn.dripshop.live/dripnfts/slabs/103503812.jpg,https://www.dripshop.live/products/D3UDrT979AaokdYsdI8To
2016 POKEMON XY EVOLUTIONS MISTY'S DETERMINATION (PSA MINT 9),MISTY'S DETERMINATION,97512126,POKEMON XY EVOLUTIONS,MINT 9,PSA,EVOLUTIONS-FA,No,2016,English,$56.35,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/97512126.mp4,https://cdn.dripshop.live/dripnfts/slabs/97512126.jpg,https://www.dripshop.live/products/QPCywHXdsJfQYpzo9Ey6y
2000 POKEMON JAPANESE NEO 2 POLIWRATH-HOLO (PSA MINT 9),POLIWRATH-HOLO,102912265,POKEMON JAPANESE NEO 2,MINT 9,PSA,N/A,No,2000,Japanese,$56.35,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/102912265.mp4,https://cdn.dripshop.live/dripnfts/slabs/102912265.jpg,https://www.dripshop.live/products/GhO3uPobXuC6Je6QIPFgu
2023 POKEMON JAPANESE SV3a-RAGING SURF GROUDON (PSA GEM MT 10),GROUDON,107831702,POKEMON JAPANESE SV3a-RAGING SURF,GEM MT 10,PSA,ART RARE,No,2023,Japanese,$56.35,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/107831702.mp4,https://cdn.dripshop.live/dripnfts/slabs/107831702.jpg,https://www.dripshop.live/products/IX9xtti2PYttRRNYP1JAh
2025 Pokemon Scarlet & Violet Team Rocket's Houndoom (CGC PRISTINE 10),Team Rocket's Houndoom,6050080216,Pokemon Scarlet & Violet,PRISTINE 10,CGC,Art Rare,No,2025,English,$56.35,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/6050080216.mp4,https://cdn.dripshop.live/dripnfts/slabs/6050080216.jpg,https://www.dripshop.live/products/4YcNvzPXSmgH_auQ2R5Qh
2002 Pokemon Neo Light Azumarill (CGC 9),Light Azumarill,4110326252,Pokemon Neo,9,CGC,Holo,No,2002,English,$55.55,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/4110326252.mp4,https://cdn.dripshop.live/dripnfts/slabs/4110326252.jpg,https://www.dripshop.live/products/6E02lQKq5BuTBaa7wDC9N
2021 Pokemon Sword & Shield Gengar VMAX (CGC 9),Gengar VMAX,4183957051,Pokemon Sword & Shield,9,CGC,Holo,No,2021,English,$55.55,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/4183957051.mp4,https://cdn.dripshop.live/dripnfts/slabs/4183957051.jpg,https://www.dripshop.live/products/EE9swH2iMKAcWz-KCyl8l
2022 Pokemon Sword & Shield Charizard VSTAR (CGC GEM MINT 10),Charizard VSTAR,4306760010,Pokemon Sword & Shield,GEM MINT 10,CGC,Special Art Rare,No,2022,English,$55.55,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/4306760010.mp4,https://cdn.dripshop.live/dripnfts/slabs/4306760010.jpg,https://www.dripshop.live/products/ojU1pRL5y5NuXP03ZtwXX
2023 POKEMON SVI EN-SCARLET & VIOLET DROWZEE (PSA MINT 9),DROWZEE,109827990,POKEMON SVI EN-SCARLET & VIOLET,MINT 9,PSA,ILLUSTRATION RARE,No,2023,English,$55.20,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/109827990.mp4,https://cdn.dripshop.live/dripnfts/slabs/109827990.jpg,https://www.dripshop.live/products/3RKIWBzIo8UPQeMy1GAwg
2023 POKEMON SVI EN-SCARLET & VIOLET DROWZEE (PSA MINT 9),DROWZEE,109827989,POKEMON SVI EN-SCARLET & VIOLET,MINT 9,PSA,ILLUSTRATION RARE,No,2023,English,$55.20,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/109827989.mp4,https://cdn.dripshop.live/dripnfts/slabs/109827989.jpg,https://www.dripshop.live/products/K5FlP6XrO53QE5JRZNs0f
2019 POKEMON JAPANESE SUN & MOON FULL METAL WALL BLASTOISE GX (PSA GEM MT 10),BLASTOISE GX,72667662,POKEMON JAPANESE SUN & MOON FULL METAL WALL,GEM MT 10,PSA,FULL METAL WALL,No,2019,Japanese,$55.20,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/72667662.mp4,https://cdn.dripshop.live/dripnfts/slabs/72667662.jpg,https://www.dripshop.live/products/Ce6tIUdxpXj5Qa0i65N1g
2002 POKEMON NEO DESTINY DARK DONPHAN-HOLO (PSA NM-MT 8),DARK DONPHAN-HOLO,108381878,POKEMON NEO DESTINY,NM-MT 8,PSA,N/A,No,2002,English,$55.20,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/108381878.mp4,https://cdn.dripshop.live/dripnfts/slabs/108381878.jpg,https://www.dripshop.live/products/sqX-UBOww9GPrHeH_ZcBu
2023 POKEMON MEW EN-151 ZAPDOS ex (PSA NM-MT 8),ZAPDOS ex,83770035,POKEMON MEW EN-151,NM-MT 8,PSA,SPECIAL ILLUSTRATION RARE,No,2023,English,$54.05,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/83770035.mp4,https://cdn.dripshop.live/dripnfts/slabs/83770035.jpg,https://www.dripshop.live/products/JsyRERNVPk2_MLSKnEc91
2023 POKEMON SVP EN-SV BLACK STAR PROMO SQUIRTLE (PSA GEM MT 10),SQUIRTLE,99195400,POKEMON SVP EN-SV BLACK STAR PROMO,GEM MT 10,PSA,151 POSTER COLLECTION,No,2023,English,$54.05,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/99195400.mp4,https://cdn.dripshop.live/dripnfts/slabs/99195400.jpg,https://www.dripshop.live/products/eDTlzvsqX-4OAsDy9roL6
2000 POKEMON GAME BASE II PIDGEOT-HOLO (PSA NM-MT 8),PIDGEOT-HOLO,108431015,POKEMON GAME BASE II,NM-MT 8,PSA,BASE II,No,2000,English,$54.05,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/108431015.mp4,https://cdn.dripshop.live/dripnfts/slabs/108431015.jpg,https://www.dripshop.live/products/OzlkTc7SZR6lprC1eSjF9
2023 POKEMON SVP EN-SV BLACK STAR PROMO CHARMANDER (PSA MINT 9),CHARMANDER,113224112,POKEMON SVP EN-SV BLACK STAR PROMO,MINT 9,PSA,OBSIDIAN FLAMES ETB,No,2023,English,$54.05,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/113224112.mp4,https://cdn.dripshop.live/dripnfts/slabs/113224112.jpg,https://www.dripshop.live/products/B_UOAMfA6XiHltXpwQps4
2000 POKEMON NEO GENESIS 1ST EDITION JUMPLUFF-HOLO (PSA NM-MT 8),JUMPLUFF-HOLO,108381892,POKEMON NEO GENESIS 1ST EDITION,NM-MT 8,PSA,1ST EDITION,No,2000,English,$54.05,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/108381892.mp4,https://cdn.dripshop.live/dripnfts/slabs/108381892.jpg,https://www.dripshop.live/products/YIt7iVfBR1OFeYKeSNpXx
2022 POKEMON SWORD & SHIELD SILVER TEMPEST FA/HISUIAN ARCANINE V (PSA GEM MT 10),FA/HISUIAN ARCANINE V,71011047,POKEMON SWORD & SHIELD SILVER TEMPEST,GEM MT 10,PSA,SILVER TEMPEST,No,2022,English,$52.90,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/71011047.mp4,https://cdn.dripshop.live/dripnfts/slabs/71011047.jpg,https://www.dripshop.live/products/MeITpS4DbvKAQicIpSE1q
2022 POKEMON JAPANESE SWORD & SHIELD VSTAR UNIVERSE FA/ELESA'S SPARKLE (PSA GEM MT 10),FA/ELESA'S SPARKLE,92618683,POKEMON JAPANESE SWORD & SHIELD VSTAR UNIVERSE,GEM MT 10,PSA,VSTAR UNIVERSE,No,2022,Japanese,$52.90,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/92618683.mp4,https://cdn.dripshop.live/dripnfts/slabs/92618683.jpg,https://www.dripshop.live/products/ZrdTnzleqvq8Nb67vdvwl
2023 POKEMON OBF EN-OBSIDIAN FLAMES TYRANITAR ex (PSA GEM MT 10),TYRANITAR ex,108368213,POKEMON OBF EN-OBSIDIAN FLAMES,GEM MT 10,PSA,ULTRA RARE,No,2023,English,$52.90,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/108368213.mp4,https://cdn.dripshop.live/dripnfts/slabs/108368213.jpg,https://www.dripshop.live/products/k6kOcXVDtHpMVBi_cz-cJ
2023 POKEMON SWORD AND SHIELD CROWN ZENITH FA/PARAS (PSA GEM MT 10),FA/PARAS,108368229,POKEMON SWORD AND SHIELD CROWN ZENITH,GEM MT 10,PSA,CROWN ZENITH,No,2023,English,$52.90,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/108368229.mp4,https://cdn.dripshop.live/dripnfts/slabs/108368229.jpg,https://www.dripshop.live/products/BS9JJSTyGHfXBxk_Kavpg
2019 POKEMON SM BLACK STAR PROMO GYARADOS GX (PSA GEM MT 10),GYARADOS GX,109310266,POKEMON SM BLACK STAR PROMO,GEM MT 10,PSA,PROMO-HIDDEN FATES TINS,No,2019,English,$52.90,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/109310266.mp4,https://cdn.dripshop.live/dripnfts/slabs/109310266.jpg,https://www.dripshop.live/products/cKXT2qh-J8J2Q2Hzu00CR
2024 POKEMON MEW EN-151 CHARMELEON (PSA GEM MT 10),CHARMELEON,112803449,POKEMON MEW EN-151,GEM MT 10,PSA,CHARIZARD ex SUPER-PREM COLL,No,2024,English,$52.90,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/112803449.mp4,https://cdn.dripshop.live/dripnfts/slabs/112803449.jpg,https://www.dripshop.live/products/cZGHZ5gcHDqgfxmF7QnJ4
